Timestamp,Temperature(C),Humidity(%),MQ4_Voltage(V),MQ4_PPM,MQ7_Voltage(V),MQ7_CO_PPM
2025-06-25 16:10:42,22.8,68.1,0.00,0.00,0.00,0.00
2025-06-25 16:10:52,22.9,68.1,0.07,0.01,0.15,0.01
2025-06-25 16:11:02,23.0,68.0,0.25,0.03,0.35,0.03
2025-06-25 16:11:12,23.1,67.9,1.30,0.27,1.60,0.23
2025-06-25 16:11:22,23.2,67.9,2.70,0.65,3.00,0.55
2025-06-25 16:11:32,23.2,67.8,3.30,1.00,3.30,1.00
2025-06-25 16:11:42,23.2,67.8,2.60,0.70,2.80,0.60
2025-06-25 16:11:52,23.1,67.9,1.10,0.22,1.40,0.18
2025-06-25 16:12:02,23.0,68.0,0.40,0.04,0.55,0.02
2025-06-25 16:12:12,22.9,68.1,0.00,0.00,0.00,0.00
2025-06-25 16:12:22,22.9,68.2,0.00,0.00,0.00,0.00
2025-06-25 16:12:32,23.0,68.2,0.10,0.01,0.10,0.01
2025-06-25 16:12:42,23.1,68.1,0.38,0.04,0.48,0.03
2025-06-25 16:12:52,23.2,68.0,1.40,0.30,1.70,0.25
2025-06-25 16:13:02,23.3,68.0,2.90,0.80,3.10,0.65
2025-06-25 16:13:12,23.3,67.9,3.30,1.00,3.30,1.00
2025-06-25 16:13:22,23.2,67.9,2.70,0.70,2.90,0.58
2025-06-25 16:13:32,23.1,68.0,1.20,0.26,1.50,0.22
2025-06-25 16:13:42,23.0,68.1,0.30,0.03,0.50,0.02
2025-06-25 16:13:52,22.9,68.2,0.00,0.00,0.00,0.00
2025-06-25 16:14:02,22.9,68.2,0.00,0.00,0.00,0.00
2025-06-25 16:14:12,22.9,68.2,0.06,0.01,0.04,0.01
2025-06-25 16:14:22,23.0,68.1,0.12,0.01,0.15,0.01
2025-06-25 16:14:32,23.1,68.0,0.95,0.20,1.20,0.19
2025-06-25 16:14:42,23.2,67.9,2.70,0.60,2.90,0.45
2025-06-25 16:14:52,23.2,67.9,3.30,1.00,3.30,1.00
2025-06-25 16:15:02,23.1,68.0,2.40,0.70,2.50,0.58
2025-06-25 16:15:12,23.0,68.1,1.10,0.22,1.30,0.20
2025-06-25 16:15:22,22.9,68.2,0.25,0.02,0.40,0.02
2025-06-25 16:15:32,22.8,68.3,0.00,0.00,0.00,0.00
2025-06-25 16:15:42,22.8,68.3,0.00,0.00,0.00,0.00
2025-06-25 16:15:52,22.9,68.3,0.15,0.02,0.18,0.01
2025-06-25 16:16:02,23.0,68.2,0.35,0.03,0.60,0.03
2025-06-25 16:16:12,23.1,68.1,1.50,0.35,1.70,0.28
2025-06-25 16:16:22,23.2,68.0,2.90,0.82,3.10,0.65
2025-06-25 16:16:32,23.3,68.0,3.30,1.00,3.30,1.00
2025-06-25 16:16:42,23.2,68.1,2.80,0.68,2.90,0.54
2025-06-25 16:16:52,23.1,68.2,1.30,0.26,1.50,0.22
2025-06-25 16:17:02,23.0,68.3,0.45,0.04,0.65,0.03
2025-06-25 16:17:12,22.9,68.3,0.00,0.00,0.00,0.00
2025-06-25 16:17:22,22.9,68.3,0.00,0.00,0.00,0.00
2025-06-25 16:17:32,23.0,68.2,0.10,0.01,0.12,0.01
2025-06-25 16:17:42,23.1,68.2,0.28,0.03,0.45,0.02
2025-06-25 16:17:52,23.2,68.1,1.60,0.32,1.80,0.25
2025-06-25 16:18:02,23.3,68.0,2.80,0.75,3.00,0.58
2025-06-25 16:18:12,23.4,67.9,3.30,1.00,3.30,1.00
2025-06-25 16:18:22,23.3,67.9,2.70,0.68,2.90,0.55
2025-06-25 16:18:32,23.2,68.0,1.40,0.29,1.60,0.21
2025-06-25 16:18:42,23.1,68.1,0.40,0.04,0.60,0.02
2025-06-25 16:18:52,23.0,68.2,0.00,0.00,0.00,0.00
2025-06-25 16:19:02,23.0,68.2,0.00,0.00,0.00,0.00
2025-06-25 16:19:12,23.1,68.1,0.08,0.01,0.09,0.01
2025-06-25 16:19:22,23.2,68.1,0.32,0.04,0.40,0.02
2025-06-25 16:19:32,23.3,68.0,1.35,0.31,1.60,0.24
2025-06-25 16:19:42,23.4,67.9,2.60,0.73,2.90,0.60
2025-06-25 16:19:52,23.4,67.8,3.30,1.00,3.30,1.00
2025-06-25 16:20:02,23.3,67.9,2.90,0.78,3.00,0.62
2025-06-25 16:20:12,23.2,68.0,1.50,0.33,1.70,0.27
2025-06-25 16:20:22,23.1,68.1,0.42,0.04,0.55,0.02
2025-06-25 16:20:32,23.0,68.2,0.00,0.00,0.00,0.00
2025-06-25 16:20:42,23.0,68.2,0.00,0.00,0.00,0.00
